,url,header,header_len,meta,meta_len,bytes,word_count,inlinks,unique_in,outlinks,unique_out,ext_links,unique_ext,pa,pub_date
93,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,anal itching,12,"Learn about the causes, treatment and self-care tips for this common, sometimes embarrassing condition.",103,40064,972,12,6,67,42,67,45,0.0,2018-09-29
94,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,anaphylaxis,11,"Anaphylaxis, a severe allergic reaction, is an emergency. Learn who's at risk, what to watch for and what to do when it occurs.",127,46833,1649,9,4,73,46,67,45,1.0,2019-09-14
95,https://www.mayoclinic.org/diseases-conditions/ehrlichiosis/symptoms-causes/syc-20372142,ehrlichiosis,12,"Ehrlichiosis — Comprehensive overview covers symptoms, treatment, prevention of this tick-borne disease.",104,50881,2158,11,5,69,43,67,45,0.0,2019-07-13
96,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,anemia,6,"There are many forms of anemia, in which you lack enough healthy red blood cells to carry oxygen throughout your body. They can cause fatigue and weakness.",155,50002,2071,13,6,79,50,67,45,1.0,2019-08-16
97,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,aplastic anemia,15,"Your body stops producing enough new blood cells in this rare and serious condition, possibly causing fatigue, higher risk of infections and uncontrolled bleeding.",163,46421,1379,16,8,73,46,67,45,0.0,2020-01-11
98,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,thalassemia,11,"Some forms of this inherited blood disorder usually show up before the age of 2, often causing anemia. More severe forms of the disease require regular blood transfusions.",171,48227,1648,20,11,76,49,67,45,0.0,2019-11-22
99,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034,iron deficiency anemia,22,"Iron deficiency anemia — Comprehensive overview covers symptoms, causes, treatment of this blood disorder.",106,51303,2001,14,7,77,49,67,45,1.0,2019-10-18
100,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,sickle cell anemia,18,"Learn about the symptoms, causes and treatment of this inherited blood disorder that, in the United States, is more common among black people.",142,49473,1973,12,7,73,46,67,45,1.0,2020-01-30
101,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,vitamin deficiency anemia,25,Find out how a lack of certain vitamins can lead to this blood disorder and what your doctor may recommend for treatment.,121,49650,2224,13,8,69,42,67,45,0.0,2019-12-10
102,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472,aortic aneurysm,15,Learn more about this often symptom-less condition that can cause life-threatening bleeding.,92,46674,1056,24,13,81,54,69,47,0.0,2018-03-09
103,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,brain aneurysm,14,"Learn about detection, diagnosis, treatment options and advances for brain aneurysm, including surgical clipping, endovascular coiling and flow diverters.",154,58456,2451,33,16,82,53,69,47,0.0,2019-08-09
104,https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/symptoms-causes/syc-20355432,popliteal artery aneurysm,25,Learn more about treatment options for this aneurysm that occurs in the wall of an artery located behind the knee joint.,120,38551,768,9,4,70,43,67,45,0.0,2017-08-23
